title,author,length
53. Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
54. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
55. Nightwork,By: Nora Roberts,Length: 16 hrs and 22 mins
56. Will,"By: Will Smith, Mark Manson",Length: 16 hrs and 16 mins
57. Under the Banner of Heaven,By: Jon Krakauer,Length: 12 hrs and 29 mins
58. The Alchemist,By: Paulo Coelho,Length: 4 hrs
59. What Happened to You?,"By: Oprah Winfrey, Bruce D. Perry",Length: 8 hrs and 27 mins
60. The Maid,By: Nita Prose,Length: 9 hrs and 37 mins
61. The Power of One More,By: Ed Mylett,Length: 7 hrs and 30 mins
62. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 51 mins
63. This Time Tomorrow,By: Emma Straub,Length: 8 hrs and 31 mins
64. A Promised Land,By: Barack Obama,Length: 29 hrs and 10 mins
65. Dream Town,By: David Baldacci,Length: 11 hrs
66. The Five Love Languages: The Secret to Love That Lasts,By: Gary Chapman,Length: 4 hrs and 46 mins
67. Ugly Love,By: Colleen Hoover,Length: 9 hrs and 14 mins
68. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
69. The Guest List,By: Lucy Foley,Length: 10 hrs and 22 mins
70. Reminders of Him,By: Colleen Hoover,Length: 10 hrs and 17 mins
71. Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
72. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
73. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
74. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
75. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
76. How to Be a Boss B*tch,"By: Christine Quinn, Rachel Holtzman",Length: 7 hrs and 43 mins
77. Star Wars: Brotherhood,By: Mike Chen,Length: 12 hrs and 46 mins
78. The Kaiju Preservation Society,By: John Scalzi,Length: 8 hrs and 2 mins
79. Life Force,"By: Tony Robbins, Peter H. Diamandis, Robert Hariri",Length: 22 hrs and 50 mins
80. Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 18 mins
81. The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
82. Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
83. The Devil's Hand,By: Jack Carr,Length: 14 hrs and 37 mins
84. The War on the West,By: Douglas Murray,Length: 12 hrs and 42 mins
85. Dare to Lead,By: Brené Brown,Length: 8 hrs and 10 mins
86. The Office BFFs,"By: Jenna Fischer, Angela Kinsey",Length: 8 hrs and 26 mins
87. The Storyteller,By: Dave Grohl,Length: 10 hrs and 35 mins
88. Killing the Killers,"By: Bill O'Reilly, Martin Dugard",Length: 9 hrs and 15 mins
89. The Rise and Triumph of the Modern Self,By: Carl R. Trueman,Length: 13 hrs and 36 mins
90. What Happened to the Bennetts,By: Lisa Scottoline,Length: 10 hrs and 15 mins
91. The Stand,By: Stephen King,Length: 47 hrs and 47 mins
92. Here's the Deal,By: Kellyanne Conway,Length: 19 hrs and 58 mins
93. 22 Seconds,"By: James Patterson, Maxine Paetro",Length: 8 hrs and 16 mins
94. Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins
95. Defiance of the Fall 5,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 11 mins
96. People We Meet on Vacation,By: Emily Henry,Length: 10 hrs and 46 mins
97. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
98. A Necessary Heresy,By: Davis Ashura,Length: 21 hrs and 49 mins
99. Beyond Order,By: Jordan B. Peterson,Length: 13 hrs and 11 mins
100. The Judge's List,By: John Grisham,Length: 11 hrs and 36 mins
